Week,Date,year,region,AveragePrice Conventional,Total Volume Conventional,AveragePrice Organic,Total Volume Organic
51,1/4/2015,2015,DallasFtWorth,0.74,1086363.97,1.35,9895.96
50,1/11/2015,2015,DallasFtWorth,0.76,1128693.04,1.35,12126.63
49,1/18/2015,2015,DallasFtWorth,0.76,1091677.29,1.28,12634.71
48,1/25/2015,2015,DallasFtWorth,0.8,1008295.47,1.34,11247.71
47,2/1/2015,2015,DallasFtWorth,0.68,1391089.32,1.24,12276.58
46,2/8/2015,2015,DallasFtWorth,0.67,1207167.54,1.35,10315.32
45,2/15/2015,2015,DallasFtWorth,0.77,1020856.87,1.41,10958.57
44,2/22/2015,2015,DallasFtWorth,0.8,1116600.76,1.38,15485.45
43,3/1/2015,2015,DallasFtWorth,0.82,1144032.03,1.29,17267.84
42,3/8/2015,2015,DallasFtWorth,0.75,1218684.28,1.39,8557.95
41,3/15/2015,2015,DallasFtWorth,0.72,1211158.55,1.34,11922.76
40,3/22/2015,2015,DallasFtWorth,0.67,1333424.37,1.29,13176.92
39,3/29/2015,2015,DallasFtWorth,0.79,1164808.22,1.36,9162.06
38,4/5/2015,2015,DallasFtWorth,0.77,1324348.89,1.36,11720.06
37,4/12/2015,2015,DallasFtWorth,0.72,1266899.55,1.39,11119.47
36,4/19/2015,2015,DallasFtWorth,0.8,1137811.87,1.35,12054.84
35,4/26/2015,2015,DallasFtWorth,0.81,1102639.51,1.34,9855.14
34,5/3/2015,2015,DallasFtWorth,0.77,1282852.08,1.37,6568.67
33,5/10/2015,2015,DallasFtWorth,0.75,1298826.19,1.39,10242.6
32,5/17/2015,2015,DallasFtWorth,0.73,1219398.43,1.35,11092.7
31,5/24/2015,2015,DallasFtWorth,0.81,1184131.34,1.36,12809.78
30,5/31/2015,2015,DallasFtWorth,0.68,1377670.81,1.38,9882.68
29,6/7/2015,2015,DallasFtWorth,0.73,1255575.78,1.35,9019
28,6/14/2015,2015,DallasFtWorth,0.65,1508750.45,1.35,9881.65
27,6/21/2015,2015,DallasFtWorth,0.75,1283503.44,1.37,9936.12
26,6/28/2015,2015,DallasFtWorth,0.77,1203553.98,1.33,11792.51
25,7/5/2015,2015,DallasFtWorth,0.83,1320696.13,1.3,13234.04
24,7/12/2015,2015,DallasFtWorth,0.82,1144448.23,1.27,11076.72
23,7/19/2015,2015,DallasFtWorth,0.82,1186878.88,1.29,11881.44
22,7/26/2015,2015,DallasFtWorth,0.8,1191310.92,1.14,12801.03
21,8/2/2015,2015,DallasFtWorth,0.87,1067498.21,1.31,12992.93
20,8/9/2015,2015,DallasFtWorth,0.85,1124259.51,1.4,16702.43
19,8/16/2015,2015,DallasFtWorth,0.88,1122668.33,1.45,13268.55
18,8/23/2015,2015,DallasFtWorth,0.85,1120172.03,1.36,17429.71
17,8/30/2015,2015,DallasFtWorth,0.82,1101680.91,1.36,14317.26
16,9/6/2015,2015,DallasFtWorth,0.84,1270739.69,1.46,12941.48
15,9/13/2015,2015,DallasFtWorth,0.86,1212585.41,1.48,12704.71
14,9/20/2015,2015,DallasFtWorth,0.77,1155212.67,1.47,12513.98
13,9/27/2015,2015,DallasFtWorth,0.84,1063583.86,1.48,12224.81
12,10/4/2015,2015,DallasFtWorth,0.82,1104602.14,1.49,10751.69
11,10/11/2015,2015,DallasFtWorth,0.81,1100679.15,1.48,10647.39
10,10/18/2015,2015,DallasFtWorth,0.83,992983.76,1.39,11010.45
9,10/25/2015,2015,DallasFtWorth,0.86,1010394.81,1.48,13258.61
8,11/1/2015,2015,DallasFtWorth,0.78,1114177.66,1.41,12250.82
7,11/8/2015,2015,DallasFtWorth,0.8,977717.36,1.46,11147.93
6,11/15/2015,2015,DallasFtWorth,0.71,1040439.71,1.36,11640.14
5,11/22/2015,2015,DallasFtWorth,0.78,885067.49,1.46,10812.09
4,11/29/2015,2015,DallasFtWorth,0.8,839818.87,1.46,9412.9
3,12/6/2015,2015,DallasFtWorth,0.74,1054849.97,1.48,10458.62
2,12/13/2015,2015,DallasFtWorth,0.79,980891.18,1.43,12224.14
1,12/20/2015,2015,DallasFtWorth,0.82,928051.16,1.38,11128.3
0,12/27/2015,2015,DallasFtWorth,0.8,1020390.64,1.33,10860.07
51,1/3/2016,2016,DallasFtWorth,0.78,1191927.54,1.26,10777.27
50,1/10/2016,2016,DallasFtWorth,0.85,1145736.97,1.34,11624.41
49,1/17/2016,2016,DallasFtWorth,0.79,1164936.06,1.25,14648.09
48,1/24/2016,2016,DallasFtWorth,1.02,676032.04,1.35,14155.9
47,1/31/2016,2016,DallasFtWorth,0.8,1128639.48,1.36,15116.17
46,2/7/2016,2016,DallasFtWorth,0.71,1515264.27,1.27,14931.85
45,2/14/2016,2016,DallasFtWorth,0.65,1358553.29,1.27,15673.4
44,2/21/2016,2016,DallasFtWorth,0.83,1006181.04,1.18,17232.43
43,2/28/2016,2016,DallasFtWorth,0.74,1199630.68,1.19,17889.69
42,3/6/2016,2016,DallasFtWorth,0.76,1201768.74,1.15,19464.82
41,3/13/2016,2016,DallasFtWorth,0.78,1177309.05,1.2,18432.74
40,3/20/2016,2016,DallasFtWorth,0.74,1347884.14,1.16,16850.64
39,3/27/2016,2016,DallasFtWorth,0.76,1341740.28,1.25,17408.68
38,4/3/2016,2016,DallasFtWorth,0.7,1339210.2,1.18,18943.3
37,4/10/2016,2016,DallasFtWorth,0.69,1424317.64,1.16,20070.8
36,4/17/2016,2016,DallasFtWorth,0.69,1339725.73,1.11,25616.88
35,4/24/2016,2016,DallasFtWorth,0.65,1482923.45,1,23975.47
34,5/1/2016,2016,DallasFtWorth,0.71,1433697.02,1.09,21668.3
33,5/8/2016,2016,DallasFtWorth,0.72,1475782.06,1.04,26837.25
32,5/15/2016,2016,DallasFtWorth,0.71,1366439.71,1.06,26845.53
31,5/22/2016,2016,DallasFtWorth,0.7,1378888.74,1,24210.7
30,5/29/2016,2016,DallasFtWorth,0.77,1354696.91,1,27580.57
29,6/5/2016,2016,DallasFtWorth,0.82,1343656.34,1.05,26357.74
28,6/12/2016,2016,DallasFtWorth,0.84,1272166.49,1.08,31272.25
27,6/19/2016,2016,DallasFtWorth,0.87,1236820.38,1.05,28277.44
26,6/26/2016,2016,DallasFtWorth,0.85,1277488.6,1.04,30776.67
